image_id,attunet_prnu_illum_iou,attunet_prnu_freq_iou,attenunet_freq_illum_iou,attenunet_all_iou,diff_prnu_illum_iou,diff_prnu_freq_iou,diff_freq_illum_iou,notes
0,0.955496,0.964479,0.948056,0.954808,-0.000688,-0.009671,0.006752,
1,0.936705,0.933877,0.945118,0.939574,0.002869,0.005697,-0.005544,
2,0.917587,0.949698,0.924647,0.941902,0.024315,-0.007796,0.017255,
3,0.951426,0.953395,0.963339,0.952004,0.000578,-0.001391,-0.011335,
4,0.934216,0.937857,0.936741,0.927843,-0.006373,-0.010014,-0.008898,
5,0.938177,0.959155,0.942485,0.964943,0.026766,0.005788,0.022458,
6,0.950551,0.953657,0.932281,0.949176,-0.001375,-0.004481,0.016895,
7,0.971767,0.943045,0.941156,0.92797,-0.043797,-0.015075,-0.013186,
8,0.946082,0.968226,0.949928,0.967372,0.02129,-0.000854,0.017444,
9,0.975571,0.947511,0.959305,0.950838,-0.024733,0.003327,-0.008467,
10,0.960843,0.953651,0.896641,0.962741,0.001898,0.00909,0.0661,
11,0.932402,0.961653,0.902146,0.959626,0.027224,-0.002027,0.05748,
12,0.979305,0.981965,0.951327,0.977565,-0.00174,-0.0044,0.026238,
13,0.94014,0.966606,0.928623,0.95633,0.01619,-0.010276,0.027707,
14,0.919305,0.892747,0.906842,0.919106,-0.000199,0.026359,0.012264,
15,0.949341,0.920613,0.948234,0.95322,0.003879,0.032607,0.004986,
16,0.952295,0.944627,0.90939,0.949458,-0.002837,0.004831,0.040068,
17,0.893759,0.902086,0.872465,0.910242,0.016483,0.008156,0.037777,
18,0.953914,0.952806,0.954574,0.949588,-0.004326,-0.003218,-0.004986,
19,0.962353,0.967643,0.948615,0.973184,0.010831,0.005541,0.024569,
20,0.951967,0.958127,0.915997,0.954184,0.002217,-0.003943,0.038187,
21,0.942389,0.926141,0.938317,0.943987,0.001598,0.017846,0.00567,
22,0.954511,0.955039,0.928896,0.945739,-0.008772,-0.0093,0.016843,
23,0.97515,0.96514,0.979167,0.955608,-0.019542,-0.009532,-0.023559,
24,0.955816,0.956114,0.897689,0.942442,-0.013374,-0.013672,0.044753,
25,0.922305,0.913768,0.970037,0.918516,-0.003789,0.004748,-0.051521,
26,0.971258,0.956234,0.96367,0.960253,-0.011005,0.004019,-0.003417,
27,0.934485,0.94659,0.791852,0.94347,0.008985,-0.00312,0.151618,
28,0.944075,0.956429,0.954093,0.906703,-0.037372,-0.049726,-0.04739,
29,0.933549,0.914376,0.936051,0.896637,-0.036912,-0.017739,-0.039414,
30,0.960262,0.960087,0.933608,0.972572,0.01231,0.012485,0.038964,
31,0.955337,0.956621,0.939864,0.954927,-0.00041,-0.001694,0.015063,
32,0.920833,0.870093,0.868347,0.855838,-0.064995,-0.014255,-0.012509,
33,0.90012,0.910364,0.807692,0.919841,0.019721,0.009477,0.112149,
34,0.929092,0.85806,0.974587,0.887988,-0.041104,0.029928,-0.086599,
35,0.965852,0.968761,0.922581,0.971613,0.005761,0.002852,0.049032,
36,0.950568,0.965901,0.930542,0.95919,0.008622,-0.006711,0.028648,
37,0.931818,0.930878,0.908822,0.906189,-0.025629,-0.024689,-0.002633,
38,0.949807,0.9517,0.936112,0.957221,0.007414,0.005521,0.021109,
39,0.93288,0.925705,0.828996,0.929327,-0.003553,0.003622,0.100331,
40,0.960864,0.95857,0.94608,0.959518,-0.001346,0.000948,0.013438,
41,0.969192,0.96558,0.94086,0.948431,-0.020761,-0.017149,0.007571,
42,0.930378,0.916855,0.953199,0.933508,0.00313,0.016653,-0.019691,
43,0.967516,0.954242,0.917001,0.932287,-0.035229,-0.021955,0.015286,
44,0.9547,0.957011,0.933333,0.949577,-0.005123,-0.007434,0.016244,
45,0.930581,0.926829,0.926784,0.919582,-0.010999,-0.007247,-0.007202,
46,0.892434,0.856624,0.915848,0.95045,0.058016,0.093826,0.034602,
47,0.956423,0.960253,0.967183,0.960197,0.003774,-0.000056,-0.006986,
48,0.947047,0.938931,0.941826,0.956888,0.009841,0.017957,0.015062,
49,0.966425,0.938927,0.969771,0.959159,-0.007266,0.020232,-0.010612,
50,0.944403,0.942007,0.91564,0.963504,0.019101,0.021497,0.047864,
51,0.904445,0.909481,0.875865,0.871592,-0.032853,-0.037889,-0.004273,
52,0.976778,0.964299,0.960586,0.942608,-0.03417,-0.021691,-0.017978,
53,0.957039,0.937832,0.893674,0.954755,-0.002284,0.016923,0.061081,
54,0.968044,0.972213,0.927002,0.957018,-0.011026,-0.015195,0.030016,
55,0.891955,0.919588,0.871957,0.909797,0.017842,-0.009791,0.03784,
56,0.938456,0.935055,0.960252,0.943498,0.005042,0.008443,-0.016754,
57,0.925108,0.947069,0.933946,0.922654,-0.002454,-0.024415,-0.011292,
58,0.9588,0.938407,0.946042,0.944048,-0.014752,0.005641,-0.001994,
59,0.939383,0.950495,0.918681,0.922483,-0.0169,-0.028012,0.003802,
60,0.925226,0.929334,0.938038,0.911085,-0.014141,-0.018249,-0.026953,
61,0.898145,0.927447,0.756388,0.920028,0.021883,-0.007419,0.16364,
62,0.965035,0.965491,0.909509,0.959646,-0.005389,-0.005845,0.050137,
63,0.942165,0.923195,0.875198,0.917777,-0.024388,-0.005418,0.042579,
64,0.972366,0.965145,0.970052,0.968374,-0.003992,0.003229,-0.001678,
65,0.972366,0.965145,0.970052,0.968374,-0.003992,0.003229,-0.001678,
66,0.936252,0.944327,0.937249,0.934403,-0.001849,-0.009924,-0.002846,
67,0.958972,0.951363,0.940076,0.961491,0.002519,0.010128,0.021415,
68,0.975433,0.963591,0.968631,0.946596,-0.028837,-0.016995,-0.022035,
69,0.926324,0.939727,0.891967,0.939782,0.013458,0.000055,0.047815,
70,0.950938,0.934349,0.931521,0.956943,0.006005,0.022594,0.025422,
71,0.945411,0.942592,0.932169,0.924458,-0.020953,-0.018134,-0.007711,
72,0.944668,0.960332,0.93923,0.964156,0.019488,0.003824,0.024926,
73,0.958591,0.934449,0.95207,0.970962,0.012371,0.036513,0.018892,
74,0.969261,0.975673,0.975321,0.967605,-0.001656,-0.008068,-0.007716,
75,0.919229,0.952869,0.932746,0.939211,0.019982,-0.013658,0.006465,
76,0.955405,0.953431,0.853072,0.914418,-0.040987,-0.039013,0.061346,
77,0.945783,0.928571,0.881967,0.882374,-0.063409,-0.046197,0.000407,
78,0.942728,0.9666,0.949203,0.965654,0.022926,-0.000946,0.016451,
79,0.961579,0.959815,0.967856,0.953537,-0.008042,-0.006278,-0.014319,
80,0.923692,0.940114,0.872148,0.956982,0.03329,0.016868,0.084834,
81,0.957786,0.945687,0.947854,0.951132,-0.006654,0.005445,0.003278,
82,0.954792,0.950054,0.976259,0.949426,-0.005366,-0.000628,-0.026833,
83,0.951211,0.934038,0.918588,0.935733,-0.015478,0.001695,0.017145,
84,0.960293,0.957698,0.962873,0.961699,0.001406,0.004001,-0.001174,
85,0.94386,0.954959,0.924809,0.911776,-0.032084,-0.043183,-0.013033,
86,0.963685,0.963275,0.873654,0.974925,0.01124,0.01165,0.101271,
87,0.974549,0.961941,0.928691,0.960208,-0.014341,-0.001733,0.031517,
88,0.969571,0.949463,0.945633,0.97104,0.001469,0.021577,0.025407,
89,0.916464,0.9329,0.824016,0.916158,-0.000306,-0.016742,0.092142,
90,0.974594,0.96281,0.903238,0.965015,-0.009579,0.002205,0.061777,
91,0.927935,0.914348,0.913674,0.922189,-0.005746,0.007841,0.008515,
92,0.946515,0.95638,0.91711,0.954746,0.008231,-0.001634,0.037636,
93,0.885331,0.929224,0.892233,0.901815,0.016484,-0.027409,0.009582,
