image_id,attenunet_prnu_illum_iou,attenunet_prnu_illum_dice,attenunet_prnu_illum_bf_score,attenunet_prnu_freq_iou,attenunet_prnu_freq_dice,attenunet_prnu_freq_bf_score,attenunet_freq_illum_iou,attenunet_freq_illum_dice,attenunet_freq_illum_bf_score,attenunet_all_iou,attenunet_all_dice,attenunet_all_bf_score,notes
0,0.955496,0.977241,1,0.964479,0.981918,1,0.948056,0.973336,0.994475,0.954808,0.976882,1,
1,0.936705,0.967318,0.994763,0.933877,0.965808,0.973544,0.945118,0.971785,1,0.939574,0.968846,0.904985,
2,0.917587,0.957022,0.878297,0.949698,0.9742,0.95144,0.924647,0.960848,0.915951,0.941902,0.970082,0.933257,
3,0.951426,0.975108,1,0.953395,0.976142,1,0.963339,0.981327,1,0.952004,0.975412,1,
4,0.934216,0.965989,1,0.937857,0.967932,1,0.936741,0.967338,1,0.927843,0.962571,0.9941,
5,0.938177,0.968102,0.971896,0.959155,0.979152,1,0.942485,0.970391,1,0.964943,0.982159,1,
6,0.950551,0.974649,1,0.953657,0.976279,0.989949,0.932281,0.964954,0.961576,0.949176,0.973926,1,
7,0.971767,0.985681,1,0.943045,0.970688,1,0.941156,0.969686,1,0.92797,0.96264,0.983333,
8,0.946082,0.972294,1,0.968226,0.983856,1,0.949928,0.974321,1,0.967372,0.983415,1,
9,0.975571,0.987635,1,0.947511,0.973048,1,0.959305,0.97923,1,0.950838,0.9748,1,
10,0.960843,0.980031,1,0.953651,0.976276,1,0.896641,0.945504,0.885242,0.962741,0.981017,1,
11,0.932402,0.965019,1,0.961653,0.980452,1,0.902146,0.948556,0.902472,0.959626,0.979397,1,
12,0.979305,0.989544,1,0.981965,0.990901,1,0.951327,0.975057,1,0.977565,0.988655,1,
13,0.94014,0.969146,1,0.966606,0.983019,1,0.928623,0.962991,1,0.95633,0.977678,1,
14,0.919305,0.957956,0.917985,0.892747,0.943335,0.881322,0.906842,0.951145,0.893839,0.919106,0.957848,0.964636,
15,0.949341,0.974012,1,0.920613,0.958666,1,0.948234,0.97343,1,0.95322,0.97605,1,
16,0.952295,0.975565,1,0.944627,0.971525,1,0.90939,0.952545,0.808233,0.949458,0.974074,1,
17,0.893759,0.943899,0.777236,0.902086,0.948523,0.805813,0.872465,0.931889,0.767811,0.910242,0.953013,0.797688,
18,0.953914,0.976414,0.973544,0.952806,0.975833,0.994695,0.954574,0.976759,1,0.949588,0.974142,1,
19,0.962353,0.980815,1,0.967643,0.983555,1,0.948615,0.97363,0.994594,0.973184,0.98641,1,
20,0.951967,0.975392,1,0.958127,0.978616,1,0.915997,0.956157,1,0.954184,0.976555,1,
21,0.942389,0.97034,1,0.926141,0.961654,1,0.938317,0.968177,1,0.943987,0.971186,1,
22,0.954511,0.976726,1,0.955039,0.977002,0.923193,0.928896,0.963137,1,0.945739,0.972113,0.982248,
23,0.97515,0.987419,1,0.96514,0.982261,1,0.979167,0.989474,1,0.955608,0.9773,1,
24,0.955816,0.977409,1,0.956114,0.977565,1,0.897689,0.946086,0.919059,0.942442,0.970368,1,
25,0.922305,0.959582,0.970921,0.913768,0.954941,0.962512,0.970037,0.984791,1,0.918516,0.957527,0.971176,
26,0.971258,0.985419,1,0.956234,0.977627,0.959784,0.96367,0.981499,1,0.960253,0.979723,0.965107,
